,sentence,head_noun,head_noun_match,and_word,and_word_match
227,It is an amateur comedy and,comedy,comedy,and,and
228,It is a servant scandal and,scandal,scandal,and,and
229,It is a servant carriage and,carriage,carriage,and,and
230,It is a song magazine and,magazine,magazine,and,and
231,It is a sewing magazine and,magazine,magazine,and,and
232,It is a locker magazine and,magazine,magazine,and,and
233,It is a song review and,review,review,and,and
234,It is a song recital and,recital,recital,and,and
235,It is a sports pain and,pain,pain,and,and
236,It is a needle pain and,pain,pain,and,and
237,It is an ankle pain and,pain,pain,and,and
238,It is sports excite ment and,excite ment,excite ment,and,and
239,It is a sports program and,program,program,and,and
240,It is a steam lock and,lock,lock,and,and
241,It is a coil lock and,lock,lock,and,and
242,It is an industrial lock and,lock,lock,and,and
243,It is a steam turbine and,turbine,turbine,and,and
244,It is a steam maker and,maker,maker,and,and
245,It is a student vote and,vote,vote,and,and
246,It is an employee vote and,vote,vote,and,and
247,It is a reform vote and,vote,vote,and,and
248,It is a student accusation and,accusation,accusation,and,and
249,It is a student car and,car,car,and,and
250,It is sugar alcohol and,alcohol,alcohol,and,and
251,It is barley alcohol and,alcohol,alcohol,and,and
252,It is cooking alcohol and,alcohol,alcohol,and,and
253,It is sugar extract and,extract,extract,and,and
254,It is sugar storage and,storage,storage,and,and
255,It is summer money and,money,money,and,and
256,It is phone money and,money,money,and,and
257,It is casino money and,money,money,and,and
258,There are summer clothes and,clothes,clothes,and,and
259,It is summer employment and,employment,employment,and,and
260,It is tax pressure and,pressure,pressure,and,and
261,It is weight pressure and,pressure,pressure,and,and
262,It is social pressure and,pressure,pressure,and,and
263,It is tax wealth and,wealth,wealth,and,and
264,It is a tax form and,form,form,and,and
265,It is a thermal wheel and,wheel,wheel,and,and
266,It is a hydrogen wheel and,wheel,wheel,and,and
267,It is a tractor wheel and,wheel,wheel,and,and
268,It is thermal torture and,torture,torture,and,and
269,There are thermal socks and,socks,socks,and,and
270,There are urban riots and,riots,riots,and,and
271,It is a Europe dance and,dance,dance,and,and
272,There are war riots and,riots,riots,and,and
273,It is an urban tower and,tower,tower,and,and
274,It is an urban complaint and,complaint,complaint,and,and
275,There are vapor drops and,drops,drops,and,and
276,There are rain drops and,drops,drops,and,and
277,There are fallen drops and,drops,drops,and,and
278,It is a vapor cloud and,cloud,cloud,and,and
279,It is a vapor humidifier and,humidifier,humidifier,and,and
280,It is a vegetable peel and,peel,peel,and,and
281,It is a watermelon peel and,peel,peel,and,and
282,It is a bitter peel and,peel,peel,and,and
283,It is vegetable steam and,steam,steam,and,and
284,It is a vegetable appetizer and,appetizer,appetizer,and,and
285,It is a water bird and,bird,bird,and,and
286,It is a desert bird and,bird,bird,and,and
287,It is a domestic bird and,bird,bird,and,and
288,It is a water algae and,algae,algae,and,and
289,It is a water jar and,jar,jar,and,and
290,It is a winter book and,book,book,and,and
291,It is a romance book and,book,book,and,and
292,It is a hard book and,book,book,and,and
293,It is a winter show and,show,show,and,and
294,It is a winter carnival and,carnival,carnival,and,and
295,It is a wood stove and,stove,stove,and,and
296,It is a propane stove and,stove,stove,and,and
297,It is a bread stove and,stove,stove,and,and
298,It is a wood freshener and,freshener,freshener,and,and
299,It is a wood chisel and,chisel,chisel,and,and
300,There are months during which adventures occur and,months,months,and,and
301,There are months when someone is retired and,months,months,and,and
302,There are months spent in jail and,months,months,and,and
303,There are bookings made for an adventure and,bookings,bookings,and,and
304,It is a commercial that shows an adventure and,commercial,commercial,and,and
305,It is the power to attack from the air and,power,power,and,and
306,It is power produced by the sun and,power,power,and,and
307,It is power generated by hand and,power,power,and,and
308,It is a current of air and,current,current,and,and
309,It is a blast of air and,blast,blast,and,and
310,It is a rash that is found on the body just after birth and,rash,rash,and,and
311,It is a rash caused by an allergy and,rash,rash,and,and
312,It is a rash on the arm and,rash,rash,and,and
313,It is the cramps felt when giving birth and,cramp,cramps,and,and
314,It is the event of a birth happening and,event,event,and,and
315,It is a brake that has a cable as a part and,brake,brake,and,and
316,It is a brake that works by electricity and,brake,brake,and,and
317,It is the brake on a bicycle and,brake,brake,and,and
318,It is a pulley that is used on a cable and,pulley,pulley,and,and
319,It is a bobbin for winding cable on and,bobbin,bobbin,and,and
320,It is a bee that gathers nectar from a cactus and,bee,bee,and,and
321,It is a bee that attacks one at a picnic and,bee,bee,and,and
322,It is a bee that produces syrup and,bee,bee,and,and
323,It is a chipmunk that lives under cactus and,chipmunk,chipmunk,and,and
324,It is the root of a cactus plant and,root,root,and,and
325,It is a type of sugar produced from the cane plant and,sugar,sugar,and,and
326,It is sugar extracted from a peach and,sugar,sugar,and,and
327,It is sugar that is put on breakfast and,sugar,sugar,and,and
328,It is juice from the cane plant and,juice,juice,and,and
329,It is a plantation on which cane is grown and,plantation,plantation,and,and
330,There are shavings from a block of chocolate and,shavings,shavings,and,and
331,There are shavings or clippings of grass and,shavings,shavings,and,and
332,There are shavings of wood that have been dried and,shavings,shavings,and,and
333,It is power produced by eating chocolate and,power,power,and,and
334,It is a recipe for making chocolate and,recipe,recipe,and,and
335,It is a town where coal is the dominant industry and,town,town,and,and
336,It is a town where a festival happens and,town,town,and,and
337,It is a town in a valley and,town,town,and,and
338,It is the country in which coal can be found and,country,country,and,and
339,It is a machine that manufactures coal and,machine,machine,and,and
340,It is tension caused by drinking coffee and,tension,tension,and,and
341,It is tension caused by an upcoming examination and,tension,tension,and,and
342,It is tension in a muscle and,tension,tension,and,and
343,It is a stain made by spilled coffee and,stain,stain,and,and
344,It is a container for holding coffee and,container,container,and,and
345,There are lakes in the grounds of a college and,lakes,lakes,and,and
346,There are lakes that look like farmers and,lakes,lakes,and,and
347,There are lakes that are very small and,lakes,lakes,and,and
348,It is property belonging to a college and,property,property,and,and
349,It is a publication produced in a college and,publication,publication,and,and
350,It is sauce that is made of cream and,sauce,sauce,and,and
351,It is sauce which contains pumpkins and,sauce,sauce,and,and
352,It is a sauce for putting on potatoes and,sauce,sauce,and,and
353,It is a bread that is made from cream and,bread,bread,and,and
354,It is a churn used for making cream and,churn,churn,and,and
355,It is a cow owned by a family and,cow,cow,and,and
356,It is a cow owned by a school and,cow,cow,and,and
357,It is a cow that gives milk and,cow,cow,and,and
358,It is a garden that a family uses and,garden,garden,and,and
359,It is a church where a family usually goes and,church,church,and,and
360,It is a headache caused by financial problems and,headache,headache,and,and
361,It is a headache caused by the consumption of alcohol and,headache,headache,and,and
362,It is a headache that causes death and,headache,headache,and,and
363,It is a problem caused by a lack of finance and,problem,problem,and,and
364,It is a remedy for financial problems and,remedy,remedy,and,and
365,It is a gland that fish have and,gland,gland,and,and
366,It is a gland taken from a reptile and,gland,gland,and,and
367,It is a gland that is underdeveloped and,gland,gland,and,and
368,It is a fin which is part of a fish and,fin,fin,and,and
369,It is a stew with fish as an ingredient and,stew,stew,and,and
370,It is a wreath made of flowers and,wreath,wreath,and,and
371,It is a wreath made out of yarn and,wreath,wreath,and,and
372,It is Christmas wreath and,wreath,wreath,and,and
373,It is perfume that smells of flowers and,perfume,perfume,and,and
374,It is a fabric that is decorated with flowers and,fabric,fabric,and,and
375,There are pills that are intended to cure flu and,pills,pills,and,and
376,There are pills that are used to treat infants and,pills,pills,and,and
377,There are pills that are medicine and,pills,pills,and,and
378,It is therapy used for treating flus and,therapy,therapy,and,and
379,It is an outbreak of flu and,outbreak,outbreak,and,and
380,It is food used to feed fruit plants and,food,food,and,and
381,It is food that is hot and,food,food,and,and
382,It is food that comes in packages and,food,food,and,and
383,It is a slice of a fruit and,slice,slice,and,and
384,It is the seed found inside a fruit and,seed,seed,and,and
385,It is a lamp that is powered by gas and,lamp,lamp,and,and
386,It is a lamp that runs on batteries and,lamp,lamp,and,and
387,It is a lamp that is used in a cabin and,lamp,lamp,and,and
388,It is a car that runs on gas and,car,car,and,and
389,It is a hose down which gas flows and,hose,hose,and,and
390,It is the law governing grain and,law,law,and,and
391,It is the law which states how traffic should behave and,law,law,and,and
392,It is a law that holds in a state and,law,law,and,and
393,It is a controversy over the supply of grain and,controversy,controversy,and,and
394,It is a dish used for holding grain and,dish,dish,and,and
395,It is a hole in the gutter and,hole,hole,and,and
396,It is a hole in the prairie that some animal lives in and,hole,hole,and,and
397,It is a hole that a rodent lives in and,hole,hole,and,and
398,It is a rodent that lives in the gutter and,rodent,rodent,and,and
399,It is drainage into a gutter and,drainage,drainage,and,and
400,It is an iron that is hot and,iron,iron,and,and
401,It is an iron used to cook pancakes and,iron,iron,and,and
402,It is an iron that is made of ceramic and,iron,iron,and,and
403,It is a pad that produces heat and,pad,pad,and,and
404,It is a machine that regulates heat and,regulator,regulates,and,and
405,There are people who were members in historical times and,members,members,and,and
406,There are members which are from a foreign place and,members,members,and,and
407,There are members of a hospital governing board and,members,members,and,and
408,It is an elder person in historical times and,elder,elder,and,and
409,There are archives containing historical information and,archives,archives,and,and
410,It is a light that is found in a home and,light,light,and,and
411,It is a light that provides illumination for reading and,light,light,and,and
412,It is a light that is made of glass and,light,light,and,and
413,It is paint that is used on homes and,paint,paint,and,and
414,It is a dispute about the home and,dispute,dispute,and,and
415,It is soup with honey as an ingredient and,soup,soup,and,and
416,It is soup made of ham and,soup,soup,and,and
417,It is a soup that you only have on holidays and,soup,soup,and,and
418,It is a muffin with honey as an ingredient and,muffin,muffin,and,and
419,It is an insect that produces honey and,insect,insect,and,and
420,There are scales used to weigh horses and,scales,scales,and,and
421,There are a scales on which chemicals are weighed and,scales,scales,and,and
422,There are scales made of metal and,scales,scales,and,and
423,There are stables that a horse lives in and,stables,stables,and,and
424,It is an auction where horses are sold and,auction,auction,and,and
425,It is the language used to talk about jobs and,language,language,and,and
426,It is the language that is spoken in California and,language,language,and,and
427,It is language that is used verbally and,language,language,and,and
428,It is the completion of a job and,completion,completion,and,and
429,It is anxiety about losing a job and,anxiety,anxiety,and,and
430,It is underwear that are worn by juvenile people and,underwear,underwear,and,and
431,It is special underwear that are worn in the evening and,underwear,underwear,and,and
432,It is underwear made of flannel and,underwear,underwear,and,and
433,It is a swing that is reserved for juveniles and,swing,swing,and,and
434,It is the bad behavior of juveniles and,behavior,behavior,and,and
435,It is the plant on which lemons grow and,plant,plant,and,and
436,It is a plant that produces a lot of pollen and,plant,plant,and,and
437,It is a plant that grows on a farm and,plant,plant,and,and
438,It is a tree on which lemons grow and,tree,tree,and,and
439,It is a biscuit with lemons as an ingredient and,biscuit,biscuit,and,and
440,It is an antique found in the sea and,antique,antique,and,and
441,It is an antique that is found in a library and,antique,antique,and,and
442,It is an antique which is a tool used for sewing and,antique,antique,and,and
443,It is a gun that is used by marines and,gun,gun,and,and
444,It is an attack carried out by marines and,attack,attack,and,and
445,'There are a person''s instincts to get married.' and,instincts,instincts,and,and
446,There are somebodies instincts for academic politics and,instincts,instincts,and,and
447,There are instincts that have evolved in an animal and,instincts,instincts,and,and
448,'It is a person''s preparation for getting married.' and,preparation,preparation,and,and
449,It is happiness in marriage and,happiness,happiness,and,and
450,It is a virus found in milk and,virus,virus,and,and
451,It is a virus that affects the throat and,virus,virus,and,and
452,It is a virus that is dormant and,virus,virus,and,and
453,It is a bacterium that is found in milk and,bacterium,bacterium,and,and
454,It is a pudding with milk as an ingredient and,pudding,pudding,and,and
455,There are signals that morning is approaching and,signals,signals,and,and
456,There are signals that someone is pregnant and,signals,signals,and,and
457,There are signals that animals use and,signals,signals,and,and
458,It is medication that must be taken in the morning and,medication,medication,and,and
459,It is meditation that is done in the morning and,meditation,meditation,and,and
460,It is the shape of a moth and,shape,shape,and,and
461,It is the shape of a mould and,shape,shape,and,and
462,It is the shape oval and,shape,shape,and,and
463,It is the wing of a moth and,wing,wing,and,and
464,It is an insecticide used for killing moths and,insecticide,insecticide,and,and
465,It is a cool breeze that blows in the mountains and,breeze,breeze,and,and
466,It is a breeze that goes through a kitchen and,breeze,breeze,and,and
467,It is a breeze that blows before a storm and,breeze,breeze,and,and
468,It is a cabin on the side of a mountain and,cabin,cabin,and,and
469,It is a magazine about mountains and,magazine,magazine,and,and
470,It is a forest that is maintained by the municipality and,forest,forest,and,and
471,It is a forest that is owned by royalty and,forest,forest,and,and
472,It is a forest in the alps and,forest,forest,and,and
473,It is a pool maintained by the municipality and,pool,pool,and,and
474,It is a political campaign for municipal elections and,campaign,campaign,and,and
475,It is a film about murder and,film,film,and,and
476,It is a film about people who live in poverty and,film,film,and,and
477,It is a film made in a foreign country and,film,film,and,and
478,It is an investigation into the circumstances of a murder and,investigation,investigation,and,and
479,It is an attempt to murder someone and,attempt,attempt,and,and
480,There are the resources of a nation and,resources,resources,and,and
481,There are the resources that a company possesses and,resources,resources,and,and
482,There are resources of gold and,resources,resources,and,and
483,It is the police of a nation and,police,police,and,and
484,It is a mistake made by a nation and,mistake,mistake,and,and
485,It is a sound made by blowing the nose and,sound,sound,and,and
486,It is the sound a drum makes and,sound,sound,and,and
487,It is a sound that is unidentified and,sound,sound,and,and
488,It is an itch on the nose and,itch,itch,and,and
489,It is a movement that the nose performs and,movement,movement,and,and
490,It is a charge for the maintenance or use of an office and,charge,charge,and,and
491,It is the charge required to attend a doctor and,charge,charge,and,and
492,It is the charge  paid on items for which royalties are required and,charge,charge,and,and
493,It is a statement produced by an office and,statement,statement,and,and
494,It is a notepad that is used in an office and,notepad,notepad,and,and
495,It is a treatment in which oil is rubbed on and,treatment,treatment,and,and
496,It is a treatment that is carried out before surgery and,treatment,treatment,and,and
497,It is the medical treatment for a disease and,treatment,treatment,and,and
498,It is a moisturizer that is based on oil and,moisturizer,moisturizer,and,and
499,It is an accident in which oil is spilled and,accident,accident,and,and
500,It is the season in which olives grow and,season,season,and,and
501,It is the season in which gestation happens and,season,season,and,and
502,It is the season in which it is humid and,season,season,and,and
503,It is olives spread on the ground as fertilizer and,fertilizer,fertilizer,and,and
504,It is a paste made by crushing olives and,paste,paste,and,and
505,It is equipment used with paper and,equipment,equipment,and,and
506,It is equipment used during construction and,equipment,equipment,and,and
507,It is equipment that is made of steel and,equipment,equipment,and,and
508,There are staples used to join paper together and,staples,staples,and,and
509,It is a sculpture made by folding paper and,sculpture,sculpture,and,and
510,It is a dance that is performed at a party and,dance,dance,and,and
511,It is a dance that is held in a hall and,dance,dance,and,and
512,It is a dance that peasants typically do and,dance,dance,and,and
513,It is a toast that is given at a party and,toast,toast,and,and
514,It is an invitation to come to a party and,invitation,invitation,and,and
515,It is oil extracted from the pine tree and,oil,oil,and,and
516,It is oil extracted from the skin of pigs and,oil,oil,and,and
517,It is oil that is used for tanning and,oil,oil,and,and
518,It is the bark of the pine tree and,bark,bark,and,and
519,It is furniture that is made of pine and,furniture,furniture,and,and
520,It is a report about plastic and,report,report,and,and
521,It is a report on the events of a war and,report,report,and,and
522,It is the annual report of a company and,report,report,and,and
523,It is a shortage of plastic and,shortage,shortage,and,and
524,It is a shortage of plastic and,shortage,shortage,and,and
525,It is a comedy about the activity of servants and,comedy,comedy,and,and
526,It is a comedy about economics and,comedy,comedy,and,and
527,It is a comedy performed by amateurs and,comedy,comedy,and,and
528,It is a scandal in which servants are involved and,scandal,scandal,and,and
529,It is a carriage in which servants travel and,carriage,carriage,and,and
530,It is a magazine that gives lists of songs and,magazine,magazine,and,and
531,It is a magazine with articles about sewing and,magazine,magazine,and,and
532,It is a magazine kept in a locker and,magazine,magazine,and,and
533,It is a review describing a song and,review,review,and,and
534,It is a recital at which songs are performed and,recital,recital,and,and
535,It is a pain that is caused by injury during sports and,pain,pain,and,and
536,It is pain caused by getting stuck with a needle and,pain,pain,and,and
537,It is a pain in the ankle and,pain,pain,and,and
538,It is excite ment about sports and,excite ment,excite ment,and,and
539,It is a program about sports and,program,program,and,and
540,It is a lock that works by steam and,lock,lock,and,and
541,It is a lock that is in the shape of a coil and,lock,lock,and,and
542,It is a lock that is very strong and,lock,lock,and,and
543,It is a turbine which is turned by steam and,turbine,turbine,and,and
544,It is a machine that makes steam and,maker,makes,and,and
545,It is the vote of a group of students and,vote,vote,and,and
546,It is the vote of employees in a company decision and,vote,vote,and,and
547,It is a vote to reform something and,vote,vote,and,and
548,It is an accusation said by a student and,accusation,accusation,and,and
549,It is a car that a student owns and,car,car,and,and
550,It is alcohol that is distilled from sugar and,alcohol,alcohol,and,and
551,It is alcohol that is brewed from barley and,alcohol,alcohol,and,and
552,It is alcohol used as an ingredient in cooking and,alcohol,alcohol,and,and
553,It is a sugary substance that is extracted from a plant and,extract,extracted,and,and
554,It is the storage of sugar and,storage,storage,and,and
555,It is money that is spent during summer and,money,money,and,and
556,It is money used when phoning and,money,money,and,and
557,It is money that can be used only in a casino and,money,money,and,and
558,There are clothes worn during summer and,clothes,clothes,and,and
559,It is employment over the summer period and,employment,employment,and,and
560,It is the pressure caused by paying tax and,pressure,pressure,and,and
561,It is pressure to maintain a certain weight and,pressure,pressure,and,and
562,It is pressure from society to behave a certain way and,pressure,pressure,and,and
563,It is wealth that comes from tax and,wealth,wealth,and,and
564,It is a form that must be filled in for tax and,form,form,and,and
565,It is a wheel that turns by thermal power and,wheel,wheel,and,and
566,It is a wheel that turns because of hydrogen flow and,wheel,wheel,and,and
567,It is the wheel of a tractor and,wheel,wheel,and,and
568,It is torture by heat and,torture,torture,and,and
569,There are socks that keep you warm and,socks,socks,and,and
570,There are riots carried out by city people and,riots,riots,and,and
571,It is a dance that is typical in Europe and,dance,dance,and,and
572,There are riots in protest against a war and,riots,riots,and,and
573,It is a tower in a city and,tower,tower,and,and
574,It is a complaint about living in cities and,complaint,complaint,and,and
575,There are drops that when swallowed produce a vapor and,drops,drops,and,and
576,There are drops of rain and,drops,drops,and,and
577,There are drops that have fallen and,drops,drops,and,and
578,It is a cloud of vapor and,cloud,cloud,and,and
579,It is a humidifier that produces a vapor and,humidifier,humidifier,and,and
580,It is the peel of a vegetable and,peel,peel,and,and
581,It is the peel of a watermelon and,peel,peel,and,and
582,It is peel which has a bitter taste and,peel,peel,and,and
583,It is steam produced when cooking vegetables and,steam,steam,and,and
584,It is an appetizer that is prepared from vegetables and,appetizer,appetizer,and,and
