,sentence,head_noun,head_noun_match,but_word,but_word_match
257,It is casino money but,money,money,but,but
258,There are summer clothes but,clothes,clothes,but,but
259,It is summer employment but,employment,employment,but,but
260,It is tax pressure but,pressure,pressure,but,but
261,It is weight pressure but,pressure,pressure,but,but
262,It is social pressure but,pressure,pressure,but,but
263,It is tax wealth but,wealth,wealth,but,but
264,It is a tax form but,form,form,but,but
265,It is a thermal wheel but,wheel,wheel,but,but
266,It is a hydrogen wheel but,wheel,wheel,but,but
267,It is a tractor wheel but,wheel,wheel,but,but
268,It is thermal torture but,torture,torture,but,but
269,There are thermal socks but,socks,socks,but,but
270,There are urban riots but,riots,riots,but,but
271,It is a Europe dance but,dance,dance,but,but
272,There are war riots but,riots,riots,but,but
273,It is an urban tower but,tower,tower,but,but
274,It is an urban complaint but,complaint,complaint,but,but
275,There are vapor drops but,drops,drops,but,but
276,There are rain drops but,drops,drops,but,but
277,There are fallen drops but,drops,drops,but,but
278,It is a vapor cloud but,cloud,cloud,but,but
279,It is a vapor humidifier but,humidifier,humidifier,but,but
280,It is a vegetable peel but,peel,peel,but,but
281,It is a watermelon peel but,peel,peel,but,but
282,It is a bitter peel but,peel,peel,but,but
283,It is vegetable steam but,steam,steam,but,but
284,It is a vegetable appetizer but,appetizer,appetizer,but,but
285,It is a water bird but,bird,bird,but,but
286,It is a desert bird but,bird,bird,but,but
287,It is a domestic bird but,bird,bird,but,but
288,It is a water algae but,algae,algae,but,but
289,It is a water jar but,jar,jar,but,but
290,It is a winter book but,book,book,but,but
291,It is a romance book but,book,book,but,but
292,It is a hard book but,book,book,but,but
293,It is a winter show but,show,show,but,but
294,It is a winter carnival but,carnival,carnival,but,but
295,It is a wood stove but,stove,stove,but,but
296,It is a propane stove but,stove,stove,but,but
297,It is a bread stove but,stove,stove,but,but
298,It is a wood freshener but,freshener,freshener,but,but
299,It is a wood chisel but,chisel,chisel,but,but
300,There are months during which adventures occur but,months,months,but,but
301,There are months when someone is retired but,months,months,but,but
302,There are months spent in jail but,months,months,but,but
303,There are bookings made for an adventure but,bookings,bookings,but,but
304,It is a commercial that shows an adventure but,commercial,commercial,but,but
305,It is the power to attack from the air but,power,power,but,but
306,It is power produced by the sun but,power,power,but,but
307,It is power generated by hand but,power,power,but,but
308,It is a current of air but,current,current,but,but
309,It is a blast of air but,blast,blast,but,but
310,It is a rash that is found on the body just after birth but,rash,rash,but,but
311,It is a rash caused by an allergy but,rash,rash,but,but
312,It is a rash on the arm but,rash,rash,but,but
313,It is the cramps felt when giving birth but,cramp,cramps,but,but
314,It is the event of a birth happening but,event,event,but,but
315,It is a brake that has a cable as a part but,brake,brake,but,but
316,It is a brake that works by electricity but,brake,brake,but,but
317,It is the brake on a bicycle but,brake,brake,but,but
318,It is a pulley that is used on a cable but,pulley,pulley,but,but
319,It is a bobbin for winding cable on but,bobbin,bobbin,but,but
320,It is a bee that gathers nectar from a cactus but,bee,bee,but,but
321,It is a bee that attacks one at a picnic but,bee,bee,but,but
322,It is a bee that produces syrup but,bee,bee,but,but
323,It is a chipmunk that lives under cactus but,chipmunk,chipmunk,but,but
324,It is the root of a cactus plant but,root,root,but,but
325,It is a type of sugar produced from the cane plant but,sugar,sugar,but,but
326,It is sugar extracted from a peach but,sugar,sugar,but,but
327,It is sugar that is put on breakfast but,sugar,sugar,but,but
328,It is juice from the cane plant but,juice,juice,but,but
329,It is a plantation on which cane is grown but,plantation,plantation,but,but
330,There are shavings from a block of chocolate but,shavings,shavings,but,but
331,There are shavings or clippings of grass but,shavings,shavings,but,but
332,There are shavings of wood that have been dried but,shavings,shavings,but,but
333,It is power produced by eating chocolate but,power,power,but,but
334,It is a recipe for making chocolate but,recipe,recipe,but,but
335,It is a town where coal is the dominant industry but,town,town,but,but
336,It is a town where a festival happens but,town,town,but,but
337,It is a town in a valley but,town,town,but,but
338,It is the country in which coal can be found but,country,country,but,but
339,It is a machine that manufactures coal but,machine,machine,but,but
340,It is tension caused by drinking coffee but,tension,tension,but,but
341,It is tension caused by an upcoming examination but,tension,tension,but,but
342,It is tension in a muscle but,tension,tension,but,but
343,It is a stain made by spilled coffee but,stain,stain,but,but
344,It is a container for holding coffee but,container,container,but,but
345,There are lakes in the grounds of a college but,lakes,lakes,but,but
346,There are lakes that look like farmers but,lakes,lakes,but,but
347,There are lakes that are very small but,lakes,lakes,but,but
348,It is property belonging to a college but,property,property,but,but
349,It is a publication produced in a college but,publication,publication,but,but
350,It is sauce that is made of cream but,sauce,sauce,but,but
351,It is sauce which contains pumpkins but,sauce,sauce,but,but
352,It is a sauce for putting on potatoes but,sauce,sauce,but,but
353,It is a bread that is made from cream but,bread,bread,but,but
354,It is a churn used for making cream but,churn,churn,but,but
355,It is a cow owned by a family but,cow,cow,but,but
356,It is a cow owned by a school but,cow,cow,but,but
357,It is a cow that gives milk but,cow,cow,but,but
358,It is a garden that a family uses but,garden,garden,but,but
359,It is a church where a family usually goes but,church,church,but,but
360,It is a headache caused by financial problems but,headache,headache,but,but
361,It is a headache caused by the consumption of alcohol but,headache,headache,but,but
362,It is a headache that causes death but,headache,headache,but,but
363,It is a problem caused by a lack of finance but,problem,problem,but,but
364,It is a remedy for financial problems but,remedy,remedy,but,but
365,It is a gland that fish have but,gland,gland,but,but
366,It is a gland taken from a reptile but,gland,gland,but,but
367,It is a gland that is underdeveloped but,gland,gland,but,but
368,It is a fin which is part of a fish but,fin,fin,but,but
369,It is a stew with fish as an ingredient but,stew,stew,but,but
370,It is a wreath made of flowers but,wreath,wreath,but,but
371,It is a wreath made out of yarn but,wreath,wreath,but,but
372,It is Christmas wreath but,wreath,wreath,but,but
373,It is perfume that smells of flowers but,perfume,perfume,but,but
374,It is a fabric that is decorated with flowers but,fabric,fabric,but,but
375,There are pills that are intended to cure flu but,pills,pills,but,but
376,There are pills that are used to treat infants but,pills,pills,but,but
377,There are pills that are medicine but,pills,pills,but,but
378,It is therapy used for treating flus but,therapy,therapy,but,but
379,It is an outbreak of flu but,outbreak,outbreak,but,but
380,It is food used to feed fruit plants but,food,food,but,but
381,It is food that is hot but,food,food,but,but
382,It is food that comes in packages but,food,food,but,but
383,It is a slice of a fruit but,slice,slice,but,but
384,It is the seed found inside a fruit but,seed,seed,but,but
385,It is a lamp that is powered by gas but,lamp,lamp,but,but
386,It is a lamp that runs on batteries but,lamp,lamp,but,but
387,It is a lamp that is used in a cabin but,lamp,lamp,but,but
388,It is a car that runs on gas but,car,car,but,but
389,It is a hose down which gas flows but,hose,hose,but,but
390,It is the law governing grain but,law,law,but,but
391,It is the law which states how traffic should behave but,law,law,but,but
392,It is a law that holds in a state but,law,law,but,but
393,It is a controversy over the supply of grain but,controversy,controversy,but,but
394,It is a dish used for holding grain but,dish,dish,but,but
395,It is a hole in the gutter but,hole,hole,but,but
396,It is a hole in the prairie that some animal lives in but,hole,hole,but,but
397,It is a hole that a rodent lives in but,hole,hole,but,but
398,It is a rodent that lives in the gutter but,rodent,rodent,but,but
399,It is drainage into a gutter but,drainage,drainage,but,but
400,It is an iron that is hot but,iron,iron,but,but
401,It is an iron used to cook pancakes but,iron,iron,but,but
402,It is an iron that is made of ceramic but,iron,iron,but,but
403,It is a pad that produces heat but,pad,pad,but,but
404,It is a machine that regulates heat but,regulator,regulates,but,but
405,There are people who were members in historical times but,members,members,but,but
406,There are members which are from a foreign place but,members,members,but,but
407,There are members of a hospital governing board but,members,members,but,but
408,It is an elder person in historical times but,elder,elder,but,but
409,There are archives containing historical information but,archives,archives,but,but
410,It is a light that is found in a home but,light,light,but,but
411,It is a light that provides illumination for reading but,light,light,but,but
412,It is a light that is made of glass but,light,light,but,but
413,It is paint that is used on homes but,paint,paint,but,but
414,It is a dispute about the home but,dispute,dispute,but,but
415,It is soup with honey as an ingredient but,soup,soup,but,but
416,It is soup made of ham but,soup,soup,but,but
417,It is a soup that you only have on holidays but,soup,soup,but,but
418,It is a muffin with honey as an ingredient but,muffin,muffin,but,but
419,It is an insect that produces honey but,insect,insect,but,but
420,There are scales used to weigh horses but,scales,scales,but,but
421,There are a scales on which chemicals are weighed but,scales,scales,but,but
422,There are scales made of metal but,scales,scales,but,but
423,There are stables that a horse lives in but,stables,stables,but,but
424,It is an auction where horses are sold but,auction,auction,but,but
425,It is the language used to talk about jobs but,language,language,but,but
426,It is the language that is spoken in California but,language,language,but,but
427,It is language that is used verbally but,language,language,but,but
428,It is the completion of a job but,completion,completion,but,but
429,It is anxiety about losing a job but,anxiety,anxiety,but,but
430,It is underwear that are worn by juvenile people but,underwear,underwear,but,but
431,It is special underwear that are worn in the evening but,underwear,underwear,but,but
432,It is underwear made of flannel but,underwear,underwear,but,but
433,It is a swing that is reserved for juveniles but,swing,swing,but,but
434,It is the bad behavior of juveniles but,behavior,behavior,but,but
435,It is the plant on which lemons grow but,plant,plant,but,but
436,It is a plant that produces a lot of pollen but,plant,plant,but,but
437,It is a plant that grows on a farm but,plant,plant,but,but
438,It is a tree on which lemons grow but,tree,tree,but,but
439,It is a biscuit with lemons as an ingredient but,biscuit,biscuit,but,but
440,It is an antique found in the sea but,antique,antique,but,but
441,It is an antique that is found in a library but,antique,antique,but,but
442,It is an antique which is a tool used for sewing but,antique,antique,but,but
443,It is a gun that is used by marines but,gun,gun,but,but
444,It is an attack carried out by marines but,attack,attack,but,but
445,'There are a person''s instincts to get married.' but,instincts,instincts,but,but
446,There are somebodies instincts for academic politics but,instincts,instincts,but,but
447,There are instincts that have evolved in an animal but,instincts,instincts,but,but
448,'It is a person''s preparation for getting married.' but,preparation,preparation,but,but
449,It is happiness in marriage but,happiness,happiness,but,but
450,It is a virus found in milk but,virus,virus,but,but
451,It is a virus that affects the throat but,virus,virus,but,but
452,It is a virus that is dormant but,virus,virus,but,but
453,It is a bacterium that is found in milk but,bacterium,bacterium,but,but
454,It is a pudding with milk as an ingredient but,pudding,pudding,but,but
455,There are signals that morning is approaching but,signals,signals,but,but
456,There are signals that someone is pregnant but,signals,signals,but,but
457,There are signals that animals use but,signals,signals,but,but
458,It is medication that must be taken in the morning but,medication,medication,but,but
459,It is meditation that is done in the morning but,meditation,meditation,but,but
460,It is the shape of a moth but,shape,shape,but,but
461,It is the shape of a mould but,shape,shape,but,but
462,It is the shape oval but,shape,shape,but,but
463,It is the wing of a moth but,wing,wing,but,but
464,It is an insecticide used for killing moths but,insecticide,insecticide,but,but
465,It is a cool breeze that blows in the mountains but,breeze,breeze,but,but
466,It is a breeze that goes through a kitchen but,breeze,breeze,but,but
467,It is a breeze that blows before a storm but,breeze,breeze,but,but
468,It is a cabin on the side of a mountain but,cabin,cabin,but,but
469,It is a magazine about mountains but,magazine,magazine,but,but
470,It is a forest that is maintained by the municipality but,forest,forest,but,but
471,It is a forest that is owned by royalty but,forest,forest,but,but
472,It is a forest in the alps but,forest,forest,but,but
473,It is a pool maintained by the municipality but,pool,pool,but,but
474,It is a political campaign for municipal elections but,campaign,campaign,but,but
475,It is a film about murder but,film,film,but,but
476,It is a film about people who live in poverty but,film,film,but,but
477,It is a film made in a foreign country but,film,film,but,but
478,It is an investigation into the circumstances of a murder but,investigation,investigation,but,but
479,It is an attempt to murder someone but,attempt,attempt,but,but
480,There are the resources of a nation but,resources,resources,but,but
481,There are the resources that a company possesses but,resources,resources,but,but
482,There are resources of gold but,resources,resources,but,but
483,It is the police of a nation but,police,police,but,but
484,It is a mistake made by a nation but,mistake,mistake,but,but
485,It is a sound made by blowing the nose but,sound,sound,but,but
486,It is the sound a drum makes but,sound,sound,but,but
487,It is a sound that is unidentified but,sound,sound,but,but
488,It is an itch on the nose but,itch,itch,but,but
489,It is a movement that the nose performs but,movement,movement,but,but
490,It is a charge for the maintenance or use of an office but,charge,charge,but,but
491,It is the charge required to attend a doctor but,charge,charge,but,but
492,It is the charge  paid on items for which royalties are required but,charge,charge,but,but
493,It is a statement produced by an office but,statement,statement,but,but
494,It is a notepad that is used in an office but,notepad,notepad,but,but
495,It is a treatment in which oil is rubbed on but,treatment,treatment,but,but
496,It is a treatment that is carried out before surgery but,treatment,treatment,but,but
497,It is the medical treatment for a disease but,treatment,treatment,but,but
498,It is a moisturizer that is based on oil but,moisturizer,moisturizer,but,but
499,It is an accident in which oil is spilled but,accident,accident,but,but
500,It is the season in which olives grow but,season,season,but,but
501,It is the season in which gestation happens but,season,season,but,but
502,It is the season in which it is humid but,season,season,but,but
503,It is olives spread on the ground as fertilizer but,fertilizer,fertilizer,but,but
504,It is a paste made by crushing olives but,paste,paste,but,but
505,It is equipment used with paper but,equipment,equipment,but,but
506,It is equipment used during construction but,equipment,equipment,but,but
507,It is equipment that is made of steel but,equipment,equipment,but,but
508,There are staples used to join paper together but,staples,staples,but,but
509,It is a sculpture made by folding paper but,sculpture,sculpture,but,but
510,It is a dance that is performed at a party but,dance,dance,but,but
511,It is a dance that is held in a hall but,dance,dance,but,but
512,It is a dance that peasants typically do but,dance,dance,but,but
513,It is a toast that is given at a party but,toast,toast,but,but
514,It is an invitation to come to a party but,invitation,invitation,but,but
515,It is oil extracted from the pine tree but,oil,oil,but,but
516,It is oil extracted from the skin of pigs but,oil,oil,but,but
517,It is oil that is used for tanning but,oil,oil,but,but
518,It is the bark of the pine tree but,bark,bark,but,but
519,It is furniture that is made of pine but,furniture,furniture,but,but
520,It is a report about plastic but,report,report,but,but
521,It is a report on the events of a war but,report,report,but,but
522,It is the annual report of a company but,report,report,but,but
523,It is a shortage of plastic but,shortage,shortage,but,but
524,It is a shortage of plastic but,shortage,shortage,but,but
525,It is a comedy about the activity of servants but,comedy,comedy,but,but
526,It is a comedy about economics but,comedy,comedy,but,but
527,It is a comedy performed by amateurs but,comedy,comedy,but,but
528,It is a scandal in which servants are involved but,scandal,scandal,but,but
529,It is a carriage in which servants travel but,carriage,carriage,but,but
530,It is a magazine that gives lists of songs but,magazine,magazine,but,but
531,It is a magazine with articles about sewing but,magazine,magazine,but,but
532,It is a magazine kept in a locker but,magazine,magazine,but,but
533,It is a review describing a song but,review,review,but,but
534,It is a recital at which songs are performed but,recital,recital,but,but
535,It is a pain that is caused by injury during sports but,pain,pain,but,but
536,It is pain caused by getting stuck with a needle but,pain,pain,but,but
537,It is a pain in the ankle but,pain,pain,but,but
538,It is excite ment about sports but,excite ment,excite ment,but,but
539,It is a program about sports but,program,program,but,but
540,It is a lock that works by steam but,lock,lock,but,but
541,It is a lock that is in the shape of a coil but,lock,lock,but,but
542,It is a lock that is very strong but,lock,lock,but,but
543,It is a turbine which is turned by steam but,turbine,turbine,but,but
544,It is a machine that makes steam but,maker,makes,but,but
545,It is the vote of a group of students but,vote,vote,but,but
546,It is the vote of employees in a company decision but,vote,vote,but,but
547,It is a vote to reform something but,vote,vote,but,but
548,It is an accusation said by a student but,accusation,accusation,but,but
549,It is a car that a student owns but,car,car,but,but
550,It is alcohol that is distilled from sugar but,alcohol,alcohol,but,but
551,It is alcohol that is brewed from barley but,alcohol,alcohol,but,but
552,It is alcohol used as an ingredient in cooking but,alcohol,alcohol,but,but
553,It is a sugary substance that is extracted from a plant but,extract,extracted,but,but
554,It is the storage of sugar but,storage,storage,but,but
555,It is money that is spent during summer but,money,money,but,but
556,It is money used when phoning but,money,money,but,but
557,It is money that can be used only in a casino but,money,money,but,but
558,There are clothes worn during summer but,clothes,clothes,but,but
559,It is employment over the summer period but,employment,employment,but,but
560,It is the pressure caused by paying tax but,pressure,pressure,but,but
561,It is pressure to maintain a certain weight but,pressure,pressure,but,but
562,It is pressure from society to behave a certain way but,pressure,pressure,but,but
563,It is wealth that comes from tax but,wealth,wealth,but,but
564,It is a form that must be filled in for tax but,form,form,but,but
565,It is a wheel that turns by thermal power but,wheel,wheel,but,but
566,It is a wheel that turns because of hydrogen flow but,wheel,wheel,but,but
567,It is the wheel of a tractor but,wheel,wheel,but,but
568,It is torture by heat but,torture,torture,but,but
569,There are socks that keep you warm but,socks,socks,but,but
570,There are riots carried out by city people but,riots,riots,but,but
571,It is a dance that is typical in Europe but,dance,dance,but,but
572,There are riots in protest against a war but,riots,riots,but,but
573,It is a tower in a city but,tower,tower,but,but
574,It is a complaint about living in cities but,complaint,complaint,but,but
575,There are drops that when swallowed produce a vapor but,drops,drops,but,but
576,There are drops of rain but,drops,drops,but,but
577,There are drops that have fallen but,drops,drops,but,but
578,It is a cloud of vapor but,cloud,cloud,but,but
579,It is a humidifier that produces a vapor but,humidifier,humidifier,but,but
580,It is the peel of a vegetable but,peel,peel,but,but
581,It is the peel of a watermelon but,peel,peel,but,but
582,It is peel which has a bitter taste but,peel,peel,but,but
583,It is steam produced when cooking vegetables but,steam,steam,but,but
584,It is an appetizer that is prepared from vegetables but,appetizer,appetizer,but,but
